symbol,name,market,price,avg_amount,volume_ratio
388870,파로스아이바이오,KOSDAQ,11110.0,2575966868.0,6.602737627471572
259630,엠플러스,KOSDAQ,12330.0,2570102582.0,0.521691583216105
439870,국고채30년액티브,KOSPI,102870.0,2561054312.25,1.010243988749306
280360,롯데웰푸드,KOSPI,111300.0,2559515985.0,0.58864411828095
035510,신세계,KOSPI,17410.0,2558146690.5,1.3444617210880943
114190,강원에너지,KOSDAQ,12990.0,2555389573.0,0.33239726918292267
299170,더블유에스아이,KOSDAQ,2680.0,2552156577.75,0.6362304003385812
021080,에이티넘인베스트,KOSDAQ,3085.0,2551977580.0,0.49243766020818885
064480,브리지텍,KOSDAQ,4455.0,2549778215.0,0.21478528017534598
250780,코스닥150선물인버스,KOSPI,2070.0,2549522286.5,0.7221551912713365
383800,홀딩스,KOSPI,8130.0,2544546087.5,0.5105157324969648
225570,넥슨게임즈,KOSDAQ,11140.0,2544331022.0,0.5126034318515066
455030,미국달러SOFR금리액티브,KOSPI,12860.0,2537356030.05,1.1341338801578233
403850,더핑크퐁컴퍼니,KOSDAQ,18130.0,2531158300.5,0.2836180057811398
145720,덴티움,KOSPI,52500.0,2530429787.5,0.567299962511452
101360,에코앤드림,KOSDAQ,17550.0,2530114122.5,0.6152993411162921
086960,테크,KOSDAQ,1191.0,2524915051.05,0.4526812861758994
261140,우선주,KOSPI,24030.0,2521942740.25,0.26599227591050184
054670,대한뉴팜,KOSDAQ,6860.0,2519878236.5,0.23761367906648623
228800,여행레저,KOSPI,3290.0,2516940109.75,0.4132721376417072
012610,경인양행,KOSPI,4055.0,2516014545.0,0.42974008881387266
036480,대성미생물,KOSDAQ,9880.0,2513277179.0,5.089258333724973
100120,뷰웍스,KOSDAQ,26050.0,2511489442.5,0.5494939668035655
031820,아이티센씨티에스,KOSPI,759.0,2505146912.1,0.24824134217472163
212710,아이에스티이,KOSDAQ,7930.0,2500245275.5,0.20536115164440452
083500,에프엔에스테크,KOSDAQ,14190.0,2495227190.5,0.2683524698191109
118990,모트렉스,KOSDAQ,8200.0,2491362944.0,0.24925451230166484
409820,미국나스닥100레버리지,KOSPI,14455.0,2489348062.5,0.7525325012257876
381620,제닉스로보틱스,KOSDAQ,10040.0,2482550469.5,0.5508313501103153
066360,체리부로,KOSDAQ,1101.0,2480885297.5,0.19499455889283135
217730,강스템바이오텍,KOSDAQ,2475.0,2474797983.4,0.9209455276049193
011000,진원생명과학,KOSPI,1066.0,2469888221.5,0.22079269724279568
072950,빛샘전자,KOSDAQ,7670.0,2469660334.5,1.3682463962049076
382800,지앤비에스,KOSDAQ,4485.0,2468386318.0,7.601899179982052
001780,알루코,KOSPI,2145.0,2467991075.9,2.0298463616778326
086060,진바이오텍,KOSDAQ,5230.0,2465576124.0,0.14570822632201208
016880,웅진,KOSPI,2280.0,2464282738.75,0.8977969601913212
211560,배당성장,KOSPI,35155.0,2454419022.75,0.1953675425599468
