symbol,name,market,strategy,score,price,volatility,returns_6m,max_dd,rsi,details
477080,금리액티브,KOSPI,배당성장,70,106070.0,0.14,1.32,-0.01,100.0,"['✅ 변동성 0.1% (매우 안정)', '⚡ 안정적 (6M 1.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-0.0%)']"
479080,머니마켓액티브,KOSPI,배당성장,70,52960.0,0.16,1.43,-0.01,100.0,"['✅ 변동성 0.2% (매우 안정)', '⚡ 안정적 (6M 1.4%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-0.0%)']"
479520,금리액티브,KOSPI,배당성장,70,105105.0,0.15,1.28,-0.01,97.0,"['✅ 변동성 0.2% (매우 안정)', '⚡ 안정적 (6M 1.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-0.0%)']"
479620,미국AI반도체칩메이커,KOSPI,배당성장,70,16000.0,35.9,25.89,-29.59,55.8,"['⚡ 변동성 35.9% (안정)', '✅ 꾸준한 성장 (6M 25.9%)', '⚡ 낙폭 보통 (-29.6%)', '✅ RSI 적정 (55.8)']"
483020,의료AI,KOSPI,배당성장,70,14080.0,47.94,31.77,-17.49,46.7,"['❌ 변동성 47.9% (높음)', '✅ 꾸준한 성장 (6M 31.8%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-17.5%)', '✅ RSI 적정 (46.7)']"
484890,머니마켓액티브,KOSPI,배당성장,70,51905.0,0.2,1.26,-0.02,94.7,"['✅ 변동성 0.2% (매우 안정)', '⚡ 안정적 (6M 1.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-0.0%)']"
485810,글로벌바이오액티브,KOSPI,배당성장,70,10405.0,23.24,20.34,-13.95,46.3,"['✅ 변동성 23.2% (매우 안정)', '❌ 변동 큼 (6M 20.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-13.9%)', '✅ RSI 적정 (46.3)']"
488290,마이다스,KOSPI,배당성장,70,34720.0,33.07,32.6,-21.91,44.3,"['⚡ 변동성 33.1% (안정)', '✅ 꾸준한 성장 (6M 32.6%)', '⚡ 낙폭 보통 (-21.9%)', '✅ RSI 적정 (44.3)']"
489000,일본엔화초단기국채,KOSPI,배당성장,70,9925.0,10.63,-0.52,-10.77,53.1,"['✅ 변동성 10.6% (매우 안정)', '❌ 변동 큼 (6M -0.5%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-10.8%)', '✅ RSI 적정 (53.1)']"
489010,글로벌AI인프라,KOSPI,배당성장,70,17625.0,30.09,19.57,-25.48,53.0,"['⚡ 변동성 30.1% (안정)', '✅ 꾸준한 성장 (6M 19.6%)', '⚡ 낙폭 보통 (-25.5%)', '✅ RSI 적정 (53.0)']"
495050,코리아밸류업,KOSPI,배당성장,70,24870.0,52.06,85.29,-18.95,47.2,"['❌ 변동성 52.1% (높음)', '✅ 꾸준한 성장 (6M 85.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.0%)', '✅ RSI 적정 (47.2)']"
495230,코리아밸류업액티브,KOSPI,배당성장,70,25245.0,50.88,85.76,-18.33,47.3,"['❌ 변동성 50.9% (높음)', '✅ 꾸준한 성장 (6M 85.8%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.3%)', '✅ RSI 적정 (47.3)']"
