symbol,name,market,price,strategies_count,s1_top20,s2_turnaround,s3_momentum,s4_breakout,s5_ma200,s1_value,s2_value,s3_value,s4_value,s5_value
072770,멤레이비티,KOSDAQ,780.0,2,False,True,True,False,False,528567223.05,24.006359300476944,52.892561983471076,195009360.0,-9.713339854036562
073540,에프알텍,KOSDAQ,2415.0,2,False,False,True,False,True,558558612.8,31.39281828073994,64.14451261077028,893233635.0,16.912352044150737
073560,우리손에프앤지,KOSDAQ,1680.0,2,True,False,False,False,True,1373547809.8,15.22633744855968,16.317365269461078,166622400.0,8.210469362910855
075970,동국알앤에스,KOSDAQ,2270.0,2,False,True,True,False,False,357313387.75,12.655086848635232,53.69127516778523,165029000.0,-3.38267059662265
078340,컴투스,KOSDAQ,33000.0,2,True,True,False,False,False,2158850060.0,13.597246127366613,41.66666666666667,1174107000.0,-8.403938630638885
079960,동양이엔피,KOSDAQ,29750.0,2,True,False,False,False,True,1764021545.0,18.762475049900207,35.61643835616438,1463105000.0,18.863307196723778
080420,모다이노칩,KOSDAQ,2115.0,2,False,True,True,False,False,189923863.35,16.850828729281766,53.78486055776892,19756215.0,1.064401677239002
081180,쎄크,KOSDAQ,12150.0,2,True,True,False,False,False,3338425396.5,11.981566820276491,42.09466263846929,1364372100.0,6.273643699022546
081580,성우전자,KOSDAQ,2990.0,2,False,True,False,False,True,900603671.75,37.155963302752305,52.694610778443106,354240250.0,10.237526845049928
082270,젬백스,KOSDAQ,37550.0,2,True,True,False,False,False,14592139667.5,62.554112554112564,43.29774614472124,7070740100.0,-17.01474065725209
083500,에프엔에스테크,KOSDAQ,14190.0,2,True,False,False,False,True,2495227190.5,7.499999999999996,34.863945578231295,592020990.0,5.518726041709265
083550,케이엠,KOSDAQ,3615.0,2,False,True,False,False,True,148292372.25,14.218009478672977,45.98070739549839,94347885.0,12.837224110646028
083790,인바이츠,KOSDAQ,1381.0,2,False,True,True,False,False,496979526.5,13.1967213114754,57.726269315673285,120492250.0,-14.392424876408327
085670,뉴프렉스,KOSDAQ,5460.0,2,True,False,False,False,True,1981121204.0,18.954248366013072,39.75308641975309,701058540.0,6.176104542626026
086980,쇼박스,KOSDAQ,2785.0,2,True,True,False,False,False,2674246279.25,16.527196652719667,45.833333333333336,2171623245.0,2.3464344119214164
088390,이녹스,KOSDAQ,12230.0,2,True,False,False,False,True,1435889565.0,54.224464060529634,39.60047003525264,347380920.0,19.696013232134923
089790,제이티,KOSDAQ,5790.0,2,True,False,False,False,True,3032147201.0,36.879432624113484,38.20459290187892,449512440.0,22.809994485216123
090360,로보스타,KOSDAQ,64500.0,2,True,False,False,False,True,8270685225.0,9.507640067911716,38.888888888888886,4167861000.0,19.299186638491108
091440,한울소재과학,KOSDAQ,2930.0,2,True,False,False,False,True,1142085033.5,8.921933085501866,40.503432494279174,719821890.0,7.557867417491559
092040,아미코젠,KOSDAQ,1386.0,2,True,True,False,False,False,3925293871.2,17.957446808510635,42.201834862385326,1110621204.0,-54.190374359830315
092600,앤씨앤,KOSDAQ,619.0,2,False,True,False,False,True,111528004.85,21.850393700787407,41.68514412416851,100435845.0,0.8726543848642132
093190,빅솔론,KOSDAQ,7650.0,2,False,True,False,False,True,452128162.0,30.102040816326525,47.33542319749216,204920550.0,24.0473487919572
093320,케이아이엔엑스,KOSDAQ,101900.0,2,True,False,False,False,True,1345407075.0,2.515090543259557,30.267558528428097,1873227700.0,2.5739105925933314
094170,동운아나텍,KOSDAQ,26500.0,2,True,False,False,False,True,4148528600.0,6.639839034205242,38.99204244031831,2517500000.0,19.142354882363797
094360,칩스앤미디어,KOSDAQ,16460.0,2,True,True,False,False,False,3912422471.5,13.127147766323022,41.46567717996289,1043218340.0,-2.7301737383288005
094860,네오리진,KOSDAQ,1408.0,2,False,True,False,False,True,274145420.6,54.216867469879524,48.81305637982196,428160128.0,26.89486111862147
096250,와이즈넛,KOSDAQ,11060.0,2,True,True,False,False,False,1518834588.0,21.13910186199344,45.79008073817762,4646836880.0,-16.269210386857445
096630,에스코넥,KOSDAQ,849.0,2,True,False,False,False,True,2785482097.8,41.973244147157196,35.1219512195122,361257990.0,19.933040917085165
096870,엘디티,KOSDAQ,2285.0,2,False,True,True,False,False,100700293.25,10.386473429951693,52.63157894736843,49324010.0,-13.396943310055997
099190,아이센스,KOSDAQ,19740.0,2,True,False,False,False,True,12573957584.5,33.83050847457627,19.392917369308606,2407628580.0,10.623870434453675
099410,동방선기,KOSDAQ,5050.0,2,True,False,False,False,True,1167061759.0,13.483146067415742,33.223684210526315,505934250.0,9.392007884889274
099440,스맥,KOSDAQ,5270.0,2,True,False,False,False,True,9874251889.25,9.677419354838701,31.010928961748633,3136155920.0,15.724347678101847
100130,동국S,KOSDAQ,2105.0,2,False,True,True,False,False,411220328.15,18.926553672316395,52.227171492204896,355797625.0,-10.91775868234458
101680,한국정밀기계,KOSDAQ,2900.0,2,False,True,True,False,False,572283287.0,40.77669902912622,51.98938992042441,7523423600.0,20.393145893659636
101930,인화정공,KOSDAQ,49500.0,2,False,False,True,False,True,421595017.5,32.00000000000001,62.26415094339623,318879000.0,7.372942018611317
