code,name,signal_date,entry_date,entry_price,exit_price,return,days,reason,scan_close
043150,바텍,2026-03-06,2026-03-10,23100.0,23350.0,1.0822510822510822,5,time_exit,23400.0
048530,인트론바이오,2026-03-06,2026-03-10,4600.0,5060.0,10.0,2,take_profit,6450.0
065660,안트로젠,2026-03-06,2026-03-10,50900.0,55990.00000000001,10.0,1,take_profit,43300.0
138230,Stock,2026-03-06,2026-03-10,16955.0,17235.0,1.6514302565614862,5,time_exit,17015.0
187790,나노,2026-03-06,2026-03-10,4580.0,4351.0,-5.0,4,stop_loss,4900.0
200030,Stock,2026-03-06,2026-03-10,43130.0,42525.0,-1.4027359146765592,5,time_exit,43850.0
217780,Stock,2026-03-06,2026-03-10,5295.0,5205.0,-1.69971671388102,5,time_exit,5335.0
218420,Stock,2026-03-06,2026-03-10,18825.0,20045.0,6.48074369189907,5,time_exit,19410.0
225030,Stock,2026-03-06,2026-03-10,2525.0,2585.0,2.376237623762376,5,time_exit,2515.0
225800,Stock,2026-03-06,2026-03-10,16845.0,17340.0,2.9385574354407837,5,time_exit,16925.0
261110,Stock,2026-03-06,2026-03-10,17800.0,18415.0,3.455056179775281,5,time_exit,17920.0
261240,Stock,2026-03-06,2026-03-10,14960.0,15210.0,1.6711229946524064,5,time_exit,15025.0
261250,Stock,2026-03-06,2026-03-10,17805.0,18410.0,3.3979219320415615,5,time_exit,17975.0
292560,Stock,2026-03-06,2026-03-10,8615.0,8650.0,0.4062681369704005,5,time_exit,8645.0
305080,Stock,2026-03-06,2026-03-10,13435.0,13570.0,1.0048381094157053,5,time_exit,13480.0
308620,Stock,2026-03-06,2026-03-10,12565.0,12705.0,1.1142061281337048,5,time_exit,12615.0
332610,Stock,2026-03-06,2026-03-10,133928.0,135758.0,1.366405829998208,5,time_exit,134442.0
332620,Stock,2026-03-06,2026-03-10,99297.0,98001.0,-1.305175382942083,5,time_exit,99342.0
354240,Stock,2026-03-06,2026-03-10,11585.0,11700.0,0.9926629261976695,5,time_exit,11845.0
360150,Stock,2026-03-06,2026-03-10,6365.0,6110.0,-4.006284367635507,5,time_exit,6570.0
360200,Stock,2026-03-06,2026-03-10,24905.0,24980.0,0.3011443485243927,5,time_exit,25310.0
360750,Stock,2026-03-06,2026-03-10,24645.0,24715.0,0.2840332724690607,5,time_exit,25040.0
373790,Stock,2026-03-06,2026-03-10,16884.0,17129.0,1.451077943615257,5,time_exit,17004.0
379780,Stock,2026-03-06,2026-03-10,21444.0,21514.0,0.3264316358888267,5,time_exit,21798.0
379800,Stock,2026-03-06,2026-03-10,22535.0,22590.0,0.24406478810738852,5,time_exit,22885.0
402970,Stock,2026-03-06,2026-03-10,14609.0,14760.0,1.033609418851393,5,time_exit,14829.0
409810,Stock,2026-03-06,2026-03-10,6505.0,6635.0,1.9984627209838586,5,time_exit,6500.0
424460,Stock,2026-03-06,2026-03-10,16115.0,16110.0,-0.031026993484331366,5,time_exit,16500.0
429000,Stock,2026-03-06,2026-03-10,13519.0,13554.0,0.2588948886751979,5,time_exit,13839.0
429760,Stock,2026-03-06,2026-03-10,18385.0,18400.0,0.08158825129181398,5,time_exit,18615.0
437350,Stock,2026-03-06,2026-03-10,12935.0,13080.0,1.1209895632006184,5,time_exit,12995.0
438080,Stock,2026-03-06,2026-03-10,13890.0,14050.0,1.1519078473722102,5,time_exit,14040.0
